Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H2,2002,2002,2002,6,1,1,Import,12,Algeria,DZA,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,72422,72422,8413207,0
H2,2002,2002,2002,6,1,2,Export,12,Algeria,DZA,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,1000,1000,34979,0
H2,2002,2002,2002,6,1,1,Import,12,Algeria,DZA,36,Australia,AUS,300220,Vaccines for human medicine,8,Weight in kilograms,1274,1274,83304,0
H2,2002,2002,2002,6,1,1,Import,12,Algeria,DZA,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,899,899,700104,0
H2,2002,2002,2002,6,1,1,Import,12,Algeria,DZA,192,Cuba,CUB,300220,Vaccines for human medicine,8,Weight in kilograms,13255,13255,1933012,0
H2,2002,2002,2002,6,1,1,Import,12,Algeria,DZA,208,Denmark,DNK,300220,Vaccines for human medicine,8,Weight in kilograms,4,4,17122,0
H2,2002,2002,2002,6,1,1,Import,12,Algeria,DZA,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,12058,12058,1526141,0
H2,2002,2002,2002,6,1,2,Export,12,Algeria,DZA,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,1000,1000,34979,0
H2,2002,2002,2002,6,1,1,Import,12,Algeria,DZA,276,Germany,DEU,300220,Vaccines for human medicine,8,Weight in kilograms,4168,4168,692590,0
H2,2002,2002,2002,6,1,1,Import,12,Algeria,DZA,360,Indonesia,IDN,300220,Vaccines for human medicine,8,Weight in kilograms,19613,19613,1769932,0
H2,2002,2002,2002,6,1,1,Import,12,Algeria,DZA,381,Italy,ITA,300220,Vaccines for human medicine,8,Weight in kilograms,3954,3954,771176,0
H2,2002,2002,2002,6,1,1,Import,12,Algeria,DZA,392,Japan,JPN,300220,Vaccines for human medicine,8,Weight in kilograms,495,495,98916,0
H2,2002,2002,2002,6,1,1,Import,12,Algeria,DZA,686,Senegal,SEN,300220,Vaccines for human medicine,8,Weight in kilograms,15,15,2572,0
H2,2002,2002,2002,6,1,1,Import,12,Algeria,DZA,699,India,IND,300220,Vaccines for human medicine,8,Weight in kilograms,16677,16677,817854,0
H2,2002,2002,2002,6,1,1,Import,12,Algeria,DZA,826,United Kingdom,GBR,300220,Vaccines for human medicine,8,Weight in kilograms,11,11,359,0
H2,2002,2002,2002,6,1,1,Import,12,Algeria,DZA,842,USA,USA,300220,Vaccines for human medicine,8,Weight in kilograms,1,1,124,0
H2,2002,2002,2002,6,1,1,Import,20,Andorra,AND,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,115,115,47614,0
H2,2002,2002,2002,6,1,1,Import,20,Andorra,AND,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,3,3,437,0
H2,2002,2002,2002,6,1,1,Import,20,Andorra,AND,724,Spain,ESP,300220,Vaccines for human medicine,8,Weight in kilograms,112,112,47177,0
H2,2002,2002,2002,6,1,1,Import,32,Argentina,ARG,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,47243,47243,12712356,6
H2,2002,2002,2002,6,1,2,Export,32,Argentina,ARG,0,World,WLD,300220,Vaccines for human medicine,8,Weight in kilograms,2833,2833,597385,6
H2,2002,2002,2002,6,1,1,Import,32,Argentina,ARG,36,Australia,AUS,300220,Vaccines for human medicine,8,Weight in kilograms,646,646,161662,6
H2,2002,2002,2002,6,1,1,Import,32,Argentina,ARG,56,Belgium,BEL,300220,Vaccines for human medicine,8,Weight in kilograms,9227,9227,3836787,6
H2,2002,2002,2002,6,1,2,Export,32,Argentina,ARG,68,Bolivia (Plurinational State of),BOL,300220,Vaccines for human medicine,8,Weight in kilograms,323,323,18468,6
H2,2002,2002,2002,6,1,1,Import,32,Argentina,ARG,124,Canada,CAN,300220,Vaccines for human medicine,8,Weight in kilograms,1186,1186,765125,6
H2,2002,2002,2002,6,1,2,Export,32,Argentina,ARG,152,Chile,CHL,300220,Vaccines for human medicine,8,Weight in kilograms,88,88,30564,6
H2,2002,2002,2002,6,1,2,Export,32,Argentina,ARG,188,Costa Rica,CRI,300220,Vaccines for human medicine,8,Weight in kilograms,61,61,48600,6
H2,2002,2002,2002,6,1,1,Import,32,Argentina,ARG,192,Cuba,CUB,300220,Vaccines for human medicine,8,Weight in kilograms,1270,1270,305912,6
H2,2002,2002,2002,6,1,1,Import,32,Argentina,ARG,208,Denmark,DNK,300220,Vaccines for human medicine,8,Weight in kilograms,31,31,104728,6
H2,2002,2002,2002,6,1,2,Export,32,Argentina,ARG,214,Dominican Rep.,DOM,300220,Vaccines for human medicine,8,Weight in kilograms,14,14,11500,6
H2,2002,2002,2002,6,1,1,Import,32,Argentina,ARG,251,France,FRA,300220,Vaccines for human medicine,8,Weight in kilograms,20143,20143,4086697,6
H2,2002,2002,2002,6,1,1,Import,32,Argentina,ARG,276,Germany,DEU,300220,Vaccines for human medicine,8,Weight in kilograms,6263,6263,1528243,6
